id,name,type,subtype,cost,ar,rarity,affinity,text,flavor_text,protocol_note,help_text
E1-062,Relay Feedback,Protocol,Attachment,2T,,uncommon,Timelock,"Attach to Protocol\nAt the beginning of the Maintenance of attached Protocol's controller, this Attachment deals 1 damage to that player.","Everyone brought assumptions, but Relay Feedback brought a specification.",BOLT 3 obscures the commitment number stored in transaction fields.,Deals or redirects damage.
E1-063,Broadcast Upgrade,Protocol,Attachment,T,,common,Timelock,Attach to Avatar\nAttached Avatar has Broadcast.,The exception asked for permission before approaching Broadcast Upgrade.,BOLT 3 obscures the commitment number stored in transaction fields.,Can usually be blocked only by another Broadcaster.
E1-064,Hidden Route,Protocol,Attachment,TT,,common,Timelock,Attach to Avatar\nAttached Avatar can't be blocked except by Firewalls.,A sticky note achieved consensus and grew into Hidden Route.,BOLT 3 defines separate timeout and success paths for offered HTLCs.,Deploy this Protocol to change how the Network behaves over time.
E1-065,Quick Uplink,Zap,,T,,common,Timelock,Target Avatar gains Broadcast until end of turn.,The incident channel gained one emoji and one decisive Quick Uplink.,BOLT 3 defines separate timeout and success paths for offered HTLCs.,Can usually be blocked only by another Broadcaster.
E1-066,Resource Tap,Protocol,,TT,,uncommon,Timelock,"Whenever a Bitcoin Resource an opponent controls becomes committed, you gain 1 Uptime.",Nothing says romance like deterministic behavior from Resource Tap.,BOLT 4 wraps a payment route in one encrypted onion packet.,Uses committing as the cost for a repeatable effect.
E1-067,"Tal, Relay Captain",Avatar,Broadcaster,TT,2/2,rare,Timelock,Other Merfolk get +1 Action and +1 Resilience and have Backchannel — Timelock. (Those Avatars can't be blocked while the defending player controls a Timelock Resource.),"No cape was required, though Relay Captain did bring spare batteries.",BOLT 4 wraps a payment route in one encrypted onion packet.,Can slip past players using the named Resource.
E1-068,Resource Rewrite,Zap,,T,,rare,Timelock,"Change the text of target card on the Queue or Network card by replacing all instances of one basic Resource type with another. (For example, you may change ""Backchannel—Keys"" to ""Backchannel—Signal."" This effect lasts indefinitely.)","Latency rehearsed an excuse, but Resource Rewrite had already resolved.",BOLT 4 derives a separate shared secret for each hop.,Can slip past players using the named Resource.
E1-069,"Jedai, Protocol Architect",Avatar,Operator,4TT,5/6,rare,Timelock,Broadcast (This Avatar can be blocked only by Avatars with Broadcast or Broadcast Guard.),The bug filed a retreat notice when Protocol Architect opened the logs.,BOLT 4 derives a separate shared secret for each hop.,Can usually be blocked only by another Broadcaster.
E1-070,Buffer Lock,Zap,,2T,,rare,Timelock,Commit all Resources target player controls and that player loses all unspent Resource.,The Queue blinked once and found Buffer Lock at the front.,BOLT 4 encrypts failure messages as they travel back toward the sender.,Uses committing as the cost for a repeatable effect.
E1-071,"Darren, Channel Operator",Avatar,Broadcaster,T,1/1,common,Timelock,No special ability.,Consensus took minutes; Channel Operator's cable labels took seconds.,BOLT 4 encrypts failure messages as they travel back toward the sender.,Deploy this Avatar to defend your Uptime or pressure an opponent.
E1-072,"Snick, Phantom Process",Avatar,Client,3T,4/1,uncommon,Timelock,"Broadcast\nAt the beginning of your Maintenance, archive this Avatar unless you pay T.",The edge feels like home when Phantom Process has the keys.,BOLT 5 tells a node how to react when channel transactions reach the chain.,Moves a card into an Archive. Can usually be blocked only by another Broadcaster.
E1-073,Resource Reclassification,Protocol,Attachment,TT,,common,Timelock,"Attach to Resource\nAs this Attachment enters, choose a basic Resource type.\nAttached Resource is the chosen type.",The meeting ended early because Resource Reclassification had executable minutes.,BOLT 5 tells a node how to react when channel transactions reach the chain.,Deploy this Protocol to change how the Network behaves over time.
E1-074,"Tal, Ghost Router",Avatar,Client,3T,3/3,uncommon,Timelock,Broadcast,Even the air gap makes small talk with Ghost Router.,BOLT 7 channel announcements prove that a funding output exists.,Can usually be blocked only by another Broadcaster.
E1-075,"Darren, Channel Raider",Avatar,Broadcaster,4T,4/3,rare,Timelock,"This Avatar can't attack unless defending player controls an Timelock Resource.\nCommit: This Avatar deals 1 damage to any target.\nWhen you control no Timelock Resources, archive this Avatar.",The packet took the scenic route and still saluted Channel Raider.,BOLT 7 channel announcements prove that a funding output exists.,Deals or redirects damage. Moves a card into an Archive.
E1-076,Maintenance Leak,Protocol,Attachment,1T,,common,Timelock,"Attach to a Protocol.\nAt its controller's Maintenance, this deals 2 damage to them. They may pay X Resources to prevent X of it.",The Network slept better once Maintenance Leak checked the locks.,BOLT 7 node announcements carry public routing-node metadata.,Deals or redirects damage.
E1-077,Fee Spike,Zap,,XT,,common,Timelock,"Invalidate target card on the Queue unless its controller pays X. If that player doesn't, they commit all Resources with Resource abilities they control and lose all unspent Resource.",A tiny packet made a very large entrance as Fee Spike.,BOLT 7 node announcements carry public routing-node metadata.,Stops a card on the Queue before it resolves.
E1-078,"Michael1011, Debugger",Avatar,Operator,2T,1/1,common,Timelock,Commit: This Avatar deals 1 damage to any target.,"Uptime is a team sport, according to Debugger and the patched router.",BOLT 7 channel updates advertise direction-specific routing policy.,Deals or redirects damage.
E1-079,Cognitive Surge,Zap,,2T,,uncommon,Timelock,Cognitive Surge deals 4 damage to any target and 2 damage to you.,The response window was brief and exactly long enough for Cognitive Surge.,BOLT 7 channel updates advertise direction-specific routing policy.,Deals or redirects damage.
E1-080,Hot Resource,Protocol,Attachment,1T,,common,Timelock,"Attach to Resource\nWhenever attached Resource becomes committed, this Attachment deals 2 damage to that Resource's controller.",The fine print became infrastructure when Hot Resource entered the Network.,BOLT 8 encrypts and authenticates Lightning's peer transport.,Deals or redirects damage.
E1-081,"Benarc, Deep Channel",Avatar,Broadcaster,5T,5/5,common,Timelock,"This Avatar can't attack unless defending player controls an Timelock Resource.\nWhen you control no Timelock Resources, archive this Avatar.",The status page calmed down as soon as Deep Channel picked up a wrench.,BOLT 8 encrypts and authenticates Lightning's peer transport.,Moves a card into an Archive.
E1-082,Call to Relay,Zap,,T,,uncommon,Timelock,"Play only during an opponent's turn before attackers.\nTheir Avatars attack if able. At end step, decommission non-Firewalls that didn't attack unless they entered or changed control this turn.",No one heard the starter pistol; they only saw Call to Relay.,BOLT 9 uses even feature bits for required features and odd bits for optional ones.,Removes a card from the Network.
E1-083,Affinity Rewrite,Zap,,T,,rare,Timelock,"Change the text of target card on the Queue or Network card by replacing all instances of one affinity word with another. (For example, you may change ""target Keys card on the Queue"" to ""target Timelock card on the Queue."" This effect lasts indefinitely.)","The bug requested more time, which Affinity Rewrite politely denied.",BOLT 9 uses even feature bits for required features and odd bits for optional ones.,Play this while other cards wait on the Queue to make a timely response.
E1-084,Queue Filter,Zap,,XT,,common,Timelock,"Invalidate target card on the Queue with total resource cost X. (For example, if that card on the Queue's Resource cost is 3TT, X is 5.)","One clean interrupt later, the logs credited Queue Filter.",BOLT 10 defines DNS records that help a new node discover peers.,Stops a card on the Queue before it resolves.
E1-085,Consensus Pause,Protocol,,1T,,rare,Timelock,"Players skip their unlock steps.\nAt the beginning of your Maintenance, archive this Protocol unless you pay T.",Every rule has an edge case; Consensus Pause packed it a lunch.,BOLT 10 defines DNS records that help a new node discover peers.,Moves a card into an Archive. Lets a committed card become usable again.
E1-086,Remote Hardware Control,Protocol,Attachment,2TT,,uncommon,Timelock,Attach to Hardware\nYou control attached Hardware.,The whiteboard stopped arguing after Remote Hardware Control drew the final arrow.,BOLT 1 uses BigSize integers for compact variable-length values.,Deploy this Protocol to change how the Network behaves over time.
E1-087,Timelock Rewrite,Zap,,T,,rare,Timelock,Target card on the Queue or Network card becomes Timelock. (Resource symbols on that Network card remain unchanged.),The fast path keeps a reserved seat for Timelock Rewrite.,BOLT 1 uses BigSize integers for compact variable-length values.,Play this while other cards wait on the Queue to make a timely response.
E1-088,State Reset,Operation,,2T,,rare,Timelock,"Each player shuffles their Wallet and Archive into their Stack, then draws seven cards. (Then put State Reset into its owner's Archive.)",The maintenance window finally found its purpose in State Reset.,BOLT 1 requires readers to ignore unknown odd TLV types.,Puts more cards in your Wallet. Moves a card into an Archive.
E1-089,Toggle State,Zap,,T,,common,Timelock,"You may commit or unlock target Hardware, Avatar, or Resource.",The packet wore sensible shoes because it was carrying Toggle State.,BOLT 1 requires readers to ignore unknown odd TLV types.,Lets a committed card become usable again.
E1-090,Return to Wallet,Zap,,T,,common,Timelock,Return target Avatar to its owner's Wallet.,A deadline became a punchline the moment Return to Wallet landed.,BOLT 11 invoices commit to a payment hash.,Play this while other cards wait on the Queue to make a timely response.
E1-091,"Jedai, Adaptive Client",Avatar,Client,3TT,0/0,rare,Timelock,"You may have this Avatar enter as a copy of any Avatar on the Network, except it doesn't copy that Avatar's affinity and it has ""At the beginning of your Maintenance, you may have this Avatar become a copy of target Avatar, except it doesn't copy that Avatar's affinity and it has this ability.""",Nobody assigned the incident; it simply looked nervous around Adaptive Client.,BOLT 11 invoices commit to a payment hash.,Deploy this Avatar to defend your Uptime or pressure an opponent.
E1-092,Grid Eruption,Operation,,XTTT,,rare,Timelock,Decommission X target Power Resources. Grid Eruption deals damage to each Avatar and each player equal to the number of Power Resources put into an Archive this way.,The big red button was replaced with a tested runbook named Grid Eruption.,BOLT 11 uses a human-readable prefix to identify network and optional amount.,Deals or redirects damage. Removes a card from the Network.
E1-093,"Snick, Airgap Firewall",Avatar,Firewall,1TT,1/5,uncommon,Timelock,Firewall (This Avatar can't attack.)\nBroadcast (This Avatar can be blocked only by Avatars with Broadcast or Broadcast Guard.),A second opinion arrived wearing Airgap Firewall's tool belt.,BOLT 11 uses a human-readable prefix to identify network and optional amount.,Can usually be blocked only by another Broadcaster.
E1-094,"Tal, Liquid Firewall",Avatar,Firewall,1TT,0/5,uncommon,Timelock,Firewall (This Avatar can't attack.)\nT: This Avatar gets +1 Action and +0 Resilience until end of turn.,"The runbook says stay calm, and Liquid Firewall added label your cables.",BOLT 12 offers are reusable descriptions from which invoices can be requested.,Makes an Avatar stronger.
E1-095,"Darren, Flow Controller",Avatar,Operator,3TT,5/4,uncommon,Timelock,No special ability.,Even the fallback plan has a fallback when Flow Controller joins the call.,BOLT 12 offers are reusable descriptions from which invoices can be requested.,Deploy this Avatar to defend your Uptime or pressure an opponent.
E1-096,Archive Boot,Protocol,Attachment,1K,,uncommon,Keys,"Attach to an Avatar card in an Archive.\nReturn it under your control and attach Archive Boot. It gets -1 Action. When Archive Boot leaves, archive that Avatar.",A handshake became a habit wherever Archive Boot was deployed.,BIP-32 extended keys combine key material with a 32-byte chain code.,Moves a card into an Archive.
E1-097,"DNI, Sovereign Knight",Avatar,Guardian,KK,2/2,uncommon,Keys,"First Strike (This Avatar deals clash damage before Avatars without First Strike.)\nShielded from Signal (It can't be targeted, attached, blocked or dealt damage by Signal sources.)",The Network asked for a hero; Sovereign Knight submitted a tested patch.,BIP-32 marks hardened child indexes at 2³¹ and above.,Deals or redirects damage. Resists the named affinity.
E1-098,"Nind, Backchannel Walker",Avatar,Broadcaster,3K,3/3,uncommon,Keys,Backchannel — Keys (This Avatar can't be blocked while the defending player controls a Keys Resource.),Every antenna found its horizon when Backchannel Walker climbed the roof.,BIP-32 marks hardened child indexes at 2³¹ and above.,Can slip past players using the named Resource.
